Title,Year,Plot
Soul Land,(2019),"Tang Sect, the most famous martial arts sect of all. By stealing its most secret teachings to fulfill his dreams, Tang San committed an unforgivable crime."
Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,(2020),The Scribble Kingdom in the sky which charges it's life energy with scribbling is endangered when the people in the world lessen their scribbling. The military is send in to enforce more scribbling.
Gurren Lagann the Movie: Childhood's End,(2008),"Simon and Kamina, brothers in arms, take upon themselves to venture beyond the borders of their world, reality and imagination. Venturing further and further into a hidden truth that has kept humanity prisoners for millennia."
The Little Penguin Pororo's Racing Adventure,(2013),Curious little penguin Pororo and his friends accidentally cause an airplane to make an emergency landing in their home of Pororo Village. On the airplane are some turtles being shipped to ... 
Dragonkeeper,(2022),"In ancient China, dragons were once friends of humans, but our greed ended their alliance, and these magical creatures were hunted down. Years later, in a remote fortress, a young slave girl, Ping, strikes up an unlikely friendship."
Thunderbirds Are GO,(1966),"When the launch of a mission to Mars goes awry due to sabotage, International Rescue is requested to assist in the mission's second attempt."
Valhalla,(1986),"Through Loki's treachery, two children in the Viking age find themselves spirited away into the world of Norse Mythology."
Albert,(2015),"The nice town Kellyville is too small to accommodate the world's worst scoundrels, Albert and Egon, who decides to go out in the world."
Minuscule - Les Mandibules du Bout du Monde,(2018),"When the first snow falls in the valley, it is urgent to prepare its reserves for the winter. Alas, during the operation, a small ladybug is trapped in a box - to the Caribbean. One solution: reform the shock team."
Pourquoi j'ai pas mangé mon père,(2015),The outcast son of a primate King learns about being a monkey.
The Senior Class,(2016),College student becomes his crush's friend by keeping her secrets but soon finds himself in a difficult situation when she gets involved in a scandal.
Mobile Suit Gundam III: Encounters in Space,(1982),"Amuro Ray and the rest of the White Base crew, now denominated the 13th Autonomous Corps, return to outer space to support the rest of the Earth Federation forces for the decisive battle ... "
Musclecar,(2017),Bambi Steele is about to make her first film. But with the only money she has Bambi buys her dream car a 1968 V8 Dodge Phoenix. She tells her cast the film is off. Unable to run her newly ... 
Curious George 3: Back to the Jungle,(2015),Curious George goes on an epic adventure to space that crash lands in the jungles of Africa leading to an unforgettable journey with some new animal friends.
Kureyon Shin-chan: Arashi wo yobu - Mouretsu! Otona teikoku no gyakushuu,(2001),"When a new threat regresses the minds of the adults of Kasukabe back into children, its up to Shinnosuke and his friends to reclaim their parents from becoming trapped in the nostalgia of the 20th Century."
One piece: Omatsuri danshaku to himitsu no shima,(2005),"The Straw Hat Pirates received an advertisement on a recreational island. The offers all looked promising, so they sailed to the island for an opportunity to kick back and relax from their ... "
Americano,(2016),A Mexican parrot named Cuco sets off on an adventure to defend his family.
Little Foot,(2020),Little Foot is a tiny Bigfoot with an even bigger heart. And when penguin pals Zoey and Flip warn him about a sinister plan involving all the magical creatures of the galaxy. he decides to ... 
Quan zhi gao shou zhi dian feng rong yao,(2019),A group of young people are sponsored by a internet bar owner for forming an electronic sports team to participate in the national competitions.
Care Bears Movie II: A New Generation,(1986),"The Care Bears try to help a young girl at summer camp who, in an effort to revamp her dorky social status to agility and skill, enters into a sinister bargain with a shape-shifting demon posing as a young boy."
My Dream Is Yours,(1949),"An agent must search for a new personality to replace a popular singer who refuses to renew his radio contract. He finds one in the form of a single mother, but complications soon occur."
Lupin the IIIrd: Jigen Daisuke no Bohyo,(2014),Lupin and Jigen face off with an assassin who has marked Jigen as his latest target.
Doraemon the Movie: Nobita's Dinosaur,(2006),"After bringing a fossilized egg back to life with the Time Cloth, Nobita finds himself the owner of a baby dinosaur. Everything is fine until it grows up. Nobita and friends use Doraemon's time machine to return it back to its own time."
Asterix the Gaul,(1967),Gaul invaded! Asterix must save the Druid Getafix from the Romans.
Majo minarai wo sagashite,(2020),The story follows three adult women from the generation who grew up watching Ojamajo Doremi. A new magical story begins once they embark on a journey together.
Thomas & Friends: Sodor's Legend of the Lost Treasure,(2015),"Shiver me timbers. Surprises await Thomas and his friends as they dig up their most daring adventure yet. Unearthing an old pirate ship, Thomas is on the hunt for Sodor's lost treasure. ... "
Digimon Adventure tri. 1: Saikai,(2015),"After years of inactivity, the DigiDestined regroup with their Digimon to save their world, but have the years changed their characters too much?"
The Miracle Maker,(2000),The story of Jesus Christ.
Twice Upon a Time,(1983),Two wannabe heroes and their friends must stop a madman from giving everyone nightmares.
Le sommet des dieux,(2021),"Japanese photo reporter Fukamachi accidentally comes across a camera that may well have belonged to Mallory, a famous mountaineer who disappeared in 1924. But a stranger comes along and ... "
Kung Fu Mulan,(2020),"Disguising herself as a man to take her father's place, Mulan is a wild and rebellious soldier in the army. As a gifted swords-woman, she also dreams about going out and exploring the world... "
King of Thorn,(2009),A virus begins to grip the Earth's population and a group of hopeful survivors are cryogenically frozen in attempt to find a cure. But when the group awakens they are flung into a horrifying situation.
Jackboots on Whitehall,(2010),A satirical alternative history of World War II where the Nazis seize London and England must band together to prevent a full-on invasion.
Pokémon the Movie: Diancie and the Cocoon of Destruction,(2014),"When Diancie a Pokémon said to create diamond travels to find Xerneas to help her make a heart diamond to save her home, Ash, Serena, Clemont and Bonnie help her to be safe on the way from thieves."
Psycho Pass 3: First Inspector,(2020),"After the events of Psycho-Pass 3, Inspector Kei Mikhail Ignatov finds himself involved with an organization named Bifrost. First Inspector Koichi Azusawa coordinates an assault on the Public Safety Bureau tower."
Mobile Suit Gundam Thunderbolt: Bandit Flower,(2017),"Eight months after the One Year War, the Earth Federation attempts to secure and destroy the Psycho Zaku from the hands of a cult called South Seas Alliance."
Felix the Cat: The Movie,(1988),"In another dimension, the villainous scientist Duke of Zill, with the help of his mechanical, geometric army, takes over the Land of Oriana, prompting Felix the Cat to save its princess and restore order once again."
Den utrolige historie om den kæmpestore pære,(2017),Life in Solby is nice and peaceful until one day Mitcho and Sebastian find a message in a bottle by the harbour. The bottle is from the missing mayor of Solby with a message that he is on a... 
Aachi & Ssipak,(2006),"In a future where energy is made from fecal matter, the government rewards defecation with ""juicybars"". Small-time hustlers try to get rich while fending off the mutated Diaper Gang."
Jokes My Folks Never Told Me,(1978),"Anthology film consisting of dirty sex jokes turned into short, comical, occasionally animated and often offensive sketches which include hillbillies, cheating, stds, double entendres, misunderstandings and male on beast bestiality."
CarGo,(2017),A young car learns the importance of family when he embarks on a mission to rescue his father who's been sent to Clunker Island to be re-purposed as junk metal.
Octonauts & the Great Barrier Reef,(2020),Octonauts must find a way to hold back hungry swarms of coral eating starfish to save a new friend's fragile reef home.
Ribbit,(2014),The tale of a frog with an identity crisis.
Fireheart,(2019),"Sixteen-year-old Georgia Nolan dreams of being the world's first-ever firefighter. When a mysterious arsonist starts burning down Broadway, New York's firemen begin vanishing. Georgia's ... "
Swimming to Sea,(2012),A mackerel from the ocean attempts to escape from a restaurant aquarium tank before getting eaten.
